id,name,province,nearest_city,elevation_m,basecamp_name,basecamp_access,basecamp_gps_lat,basecamp_gps_lng,summit_gps_lat,summit_gps_lng,distance_one_way_km,distance_round_trip_km,ascent_time_hours,descent_time_hours,num_pos,pos_breakdown,elevation_gain_segments,trail_type,difficulty,risk_level,key_hazards,critical_points,distance_from_surabaya_km,travel_time_from_surabaya_hours,recommended_transport,registration_method,permit_required,access_status,entry_fee_idr,water_sources,camping_area,emergency_shelter,signal_coverage,toilet_warung,environmental_condition,common_issues,reforestation_activity,csr_potential,recommended_conservation,best_time_months,sunrise_sunset_rating,unique_selling_point,crowd_level,minimum_gear,water_requirement_liters,emergency_contact,common_accident_types,offline_map_available,data_reliability,last_updated
sibayak,Sibayak,North Sumatra,Berastagi / Medan,2212,Semangat Gunung village / Tourism gate (Jalan Gunung Sibayak),From Berastagi (15 min drive); from Medan (2h),Unknown,Unknown,Unknown,Unknown,~4 (via tourism gate),~8,2-3,1.5-2,2-3,Gate>Forest section: ~2km/1h; Forest>Crater area: ~1km/1h; Crater>Summit: ~1km/30min,Tourism gate(~1600m)>Summit(2212m): ~612m total,Forest trail with stairs; sulfur fumarole crater; open terrain near summit,Beginner,Medium,Sulfur gas at crater (toxic); slippery trail (perpetually wet climate); fog; cold and windy summit,Crater area: sulfur gas concentration; do not enter fumarole holes; steam vents can be dangerously hot,2000+ (fly to Medan),Fly: 3h; then 2h drive to Berastagi,Fly to Medan; car/bus to Berastagi; ojek to trailhead,Gate registration,No (entry fee at gate),open,5000-20000 (estimate; domestic/foreign rates differ),Carry your own; purchase in Berastagi,Not typically an overnight hike (day trip); camping possible near crater,None,Good at lower trail; intermittent at summit,Gate area; hot springs at base,Moderate,Trash at crater area; unsafe exploration of fumaroles by tourists; trail deterioration,Unknown,Medium,Fumarole safety barriers; crater area waste management; trail step maintenance; visitor education,Year-round (driest: Jun-Sep; Karo highlands always cool),4,Most accessible active volcano hike in North Sumatra; dramatic sulfur crater; hot springs at base; pair with Sinabung viewing; Karo highlands culture,Medium,Comfortable shoes; warm jacket; mask/bandana for crater; headlamp if pre-dawn,1.5,BASARNAS Karo,Sulfur gas inhalation; slips on wet trail; burns from hot steam vents,Unknown,Medium,2024
sinabung,Sinabung,North Sumatra,Berastagi / Kabanjahe,2460,CLOSED — no official access,CLOSED TO HIKERS since 2010 eruption cycle; observation from surrounding villages only,Unknown,Unknown,Unknown,Unknown,N/A (closed),N/A (closed),N/A (closed),N/A (closed),N/A (closed),N/A — volcano actively erupting; exclusion zone in effect,N/A,N/A — volcanic exclusion zone,N/A (closed),Extreme,ACTIVE ERUPTION CYCLE since 2010; pyroclastic flows; lahars; volcanic bombs; ash falls; destroyed villages in exclusion zone; FATALITIES recorded,ENTIRE MOUNTAIN is a critical zone. Multiple eruptions 2010-2019. Exclusion zone enforced.,2000+ (fly to Medan),Fly: 3h; then 2h drive,Observation only from safe distance (Berastagi area),N/A — closed to hiking,N/A — access prohibited,closed,N/A,N/A,N/A,Evacuation shelters in surrounding villages,Good in surrounding areas,In surrounding villages,Devastated (active volcanic destruction; exclusion zone),Ongoing volcanic activity; displaced communities; agricultural land destruction; lahar flow management,N/A — ongoing volcanic destruction,High,Displaced community support; volcanic disaster education center; agricultural recovery for affected farmers; long-term monitoring support,N/A (closed to hiking; view from distance year-round),N/A (observation only),Powerful lesson in volcanic hazard; observation from Berastagi shows active eruption; ghost villages in exclusion zone; pair with Sibayak for contrast,N/A (closed),N/A — do not attempt to climb,N/A,PVMBG Sinabung monitoring post; BASARNAS Karo,FATALITIES from pyroclastic flows (illegal entry into exclusion zone); ash inhalation in surrounding areas,N/A,High (well-monitored by PVMBG),2024
dempo,Dempo,South Sumatra,Pagar Alam,3173,Basecamp Rimau / TVRI Relay Station,From Pagar Alam city (1h drive); from Palembang (8-9h drive); fly to Palembang or Bengkulu,Unknown,Unknown,Unknown,Unknown,~7,~14,6-8,4-6,3-4,Unknown — limited documentation,Unknown,Tea plantation (lower); forest; volcanic terrain; crater rim,Advanced,Medium,Active volcano; volcanic gas at crater; cold temperatures; limited rescue access; dense fog,Crater area: volcanic gas; unstable terrain,1500+ (fly recommended),Fly: 2h to Palembang; then 8-9h drive,Fly to Palembang; rent car to Pagar Alam,Local registration; hire guide in Pagar Alam,Unknown,open,Unknown,Unknown — carry all water,Near relay station; limited spots above,TVRI relay station area,Unknown above basecamp,Basecamp area only,Unknown,Remote access; limited documentation; volcanic hazard,Unknown,Medium,Trail documentation; volcanic monitoring support; tea plantation-forest interface management,May-September,Unknown,Tallest peak in South Sumatra; tea plantation landscape; remote expedition feel; crater lake; very few hikers,Low,3-season tent; sleeping bag; gas mask; trekking poles; rain gear; GPS device; local guide recommended,4,BASARNAS Pagar Alam,Unknown — limited incident reporting,Unknown,Low,2024
rinjani,Rinjani,West Nusa Tenggara (NTB),Mataram / Senaru / Sembalun (Lombok),3726,Senaru (North) / Sembalun Lawang (East),Senaru: from Mataram (3h drive); Sembalun: from Mataram (3.5h drive); Lombok airport to either: 2-3h,Unknown,Unknown,Unknown,Unknown,~16 (Sembalun to summit),~30+ (Sembalun-Summit-Senaru traverse),10-14 (2-3 days),6-10,"5 (Sembalun route: Pos 1, 2, 3, Pelawangan Sembalun, Summit)",Sembalun>Pos 1: ~3km/1.5h; Pos 1>Pos 2: ~3km/1.5h; Pos 2>Pos 3: ~3km/2h; Pos 3>Pelawangan Sembalun (crater rim): ~3km/2h; Pelawangan>Summit: ~4km/3h,Sembalun(1150m)>Pelawangan(2639m): +1489m; Pelawangan>Summit(3726m): +1087m,Savanna grassland (Sembalun start); tropical forest; crater rim; volcanic scree summit push,Advanced,High,Active volcano (child volcano Barujari inside crater erupts regularly); altitude sickness; extreme cold; steep scree summit push; dehydration; long exposed sections,Summit push from Pelawangan: very steep loose volcanic sand (3h for 1087m gain); Crater lake descent: steep and slippery,500+ (fly to Lombok),Fly: 1.5h; then 2-3h drive,Fly to Lombok; car to Sembalun or Senaru,Online via TN Gunung Rinjani; mandatory organized group with porter/guide,Yes (TN Gunung Rinjani); guide + porter mandatory,open,150000-350000 (varies domestic/foreign; guide/porter separate; 2024),Springs near Pos 1-2 (Sembalun); Segara Anak crater lake (descend to lake); carry 3L+ for summit day,"Pelawangan Sembalun (crater rim, most popular); Pelawangan Senaru; Segara Anak lake shore",Basic shelters at Pelawangan camps,Telkomsel at Sembalun start; none on mountain,Sembalun/Senaru basecamps; portable toilet provided by guide services,Moderate (high traffic but managed),Trash from trekking groups; trail erosion on summit scree; human waste management; porter welfare concerns,Yes — TN Rinjani conservation program active,High,Porter welfare program; pack-in-pack-out enforcement; human waste carry-out policy; summit scree trail stabilization; Segara Anak water quality monitoring; Barujari eruption monitoring,April-November (closed Dec-March for monsoon/safety),5,Second highest volcano in Indonesia; stunning Segara Anak crater lake; hot springs at lake shore; Barujari active child volcano inside crater; world-class multi-day trek; sacred to Sasak people,High,4-season tent; -5°C sleeping bag; trekking poles; gaiters; windproof jacket; headlamp; sunscreen; 3L water capacity (guide provides most gear),4-5,TN Rinjani ranger post; BASARNAS Lombok,Altitude sickness; falls on summit scree; hypothermia; dehydration; knee injuries on steep descent,Yes,High,2024
agung,Agung,Bali,Karangasem / Besakih,3031,Pura Besakih (South/West) / Pura Pasar Agung (East),Besakih: from Denpasar (2h); Pasar Agung: from Karangasem (1h); well-paved roads,Unknown,Unknown,Unknown,Unknown,~6 (via Pasar Agung) / ~12 (via Besakih),~12 (Pasar Agung) / ~24 (Besakih),5-7 (Pasar Agung) / 8-12 (Besakih); night ascent typical,3-5 (Pasar Agung) / 6-8 (Besakih),2-3 (via Pasar Agung),Pasar Agung>Pos 1: ~2km/2h; Pos 1>Pos 2: ~2km/2h; Pos 2>Summit: ~2km/2h (very steep),Pasar Agung(~1500m)>Summit(3031m): ~1531m; Besakih(~1000m)>Summit: ~2031m,Temple stairs (start); dense forest; exposed volcanic terrain; steep scramble; volcanic crater,Advanced,High,Active volcano (major eruption 2017-2019); altitude; extreme cold; steep loose terrain; volcanic gas; no trail markers in upper section; sacred site — religious restrictions may apply,Upper third: very steep with no protection; summit crater: toxic gas; entire mountain may close without warning during volcanic activity,500+ (fly to Bali),Fly: 1h; then 2h drive,Fly to Bali; car to Besakih/Pasar Agung; local guide mandatory,Temple-based registration; local guide associations control access; some religious restrictions for women,Yes (guide mandatory; temple blessing may be required),conditional,Unknown (varies by guide association; bundled with guide service),None on trail — carry all water,"Not a camping mountain (night ascent for sunrise, return same day)",None,Intermittent at lower sections; none above treeline,Temple areas at base; none on trail,Moderate (sacred status provides some protection),Religious/cultural sensitivity (proper conduct required); volcanic hazard; unlicensed guides; women may face access restrictions during menstruation (local custom),Unknown — spiritual/cultural management takes precedence,Medium,Cultural sensitivity integration; volcanic preparedness; guide standards and licensing; temple area waste management,April-October (check PVMBG status; closed during heightened activity; check religious calendar),5,Holiest mountain in Bali; Mother Temple (Pura Besakih) at base; sunrise over Lombok and Rinjani from summit; deep spiritual significance; Balinese Hindu cosmology center,Medium,Headlamp (night ascent mandatory); warm layers; sturdy boots; 2L water; appropriate temple attire for base; check PVMBG status,3,PVMBG Agung monitoring post; BASARNAS Bali,Falls on steep terrain (darkness); altitude sickness; hypothermia; gas inhalation; exhaustion,Unknown,Medium,2024
batur,Batur,Bali,Bangli / Kintamani,1717,Toya Bungkah / Songan / Kintamani,From Denpasar via Kintamani (2h); well-paved; popular tourist route,Unknown,Unknown,Unknown,Unknown,~3,~6,1.5-2,1-1.5,1-2,Basecamp>Mid-point: ~1.5km/45min; Mid-point>Summit: ~1.5km/45min,Basecamp(~1000m)>Summit(1717m): ~717m total,Volcanic sand and rock; well-trodden tourist path; lava field,Beginner,Low,Loose volcanic rock; pre-dawn darkness (sunrise hike); cold for tourists dressed for tropical Bali; aggressive guide touts at base,Descent on loose volcanic rock: slippery; lava field crossing: uneven terrain,500+ (fly to Bali),Fly: 1h; then 2h drive to Kintamani,Car/motorbike from anywhere in Bali; abundant tour operators,Via guide association (PPPGB controls access); guide mandatory,Yes (guide mandatory — enforced by local association),open,30000-60000 (guide fee additional 300000-500000; 2024 estimate),Carry your own; hot springs at Toya Bungkah after hike,Not applicable (sunrise day trip),None needed (short hike near village),Good throughout,Kintamani/Toya Bungkah; warung at summit (hot drinks/eggs cooked on volcanic steam),Moderate,Overtourism; aggressive guide monopoly; trash at summit; volcanic rock graffiti; standardized guide fees can be exploitative,Unknown,Medium,Guide association ethics reform; summit area cleanup; lava field preservation; caldera-wide waste management (Lake Batur pollution),Year-round (sunrise hike; depart ~3:30am; best visibility Apr-Oct),5,Most popular sunrise hike in Bali; breakfast cooked on volcanic steam; view of Lake Batur caldera; accessible for any fitness level; combine with hot springs,High,Warm jacket; headlamp; comfortable shoes (closed-toe); camera,1,Local guide association; BASARNAS Bali,Slips on volcanic rock; twisted ankles; cold exposure (tourists in shorts),Yes,High,2024
tambora,Tambora,West Nusa Tenggara (NTB),Dompu / Bima (Sumbawa),2722,Doro Mboha (Pancasila village) / Kawinda Toi,From Dompu (3-4h drive to trailhead); rough road to Pancasila village,Unknown,Unknown,Unknown,Unknown,~14 (via Pancasila),~28,10-14 (2 days recommended),7-10,3-4,Unknown — limited documentation; long forest approach then crater rim,Basecamp(~600m)>Crater rim(2722m): ~2122m total,Dense tropical forest; savanna; volcanic terrain; massive 6km-wide crater,Advanced,Medium,"Remote location (limited rescue access); long trail; dense forest navigation; limited water; extreme historical significance (1815 eruption killed 70,000+)",Crater rim: sheer drops into 6km-wide caldera; unstable edges,800+ (fly to Bima),Fly: 2-3h to Bima; then 3-4h drive,Fly to Bima; rent car/4WD to Pancasila village; local guide essential,Local village coordination; guide mandatory,Unknown — coordinate with local authorities,open,Unknown,Carry all water; springs at lower forest unreliable,Forest clearings; crater rim camping,None,None on trail,Pancasila village only,Good (remote; limited human impact since 1815),Extreme remoteness; limited infrastructure; forest fire risk; very few visitors means trail can be overgrown,Natural regrowth since 1815 eruption — one of nature's greatest recovery stories,High,Ecosystem recovery documentation (200+ years post-eruption); eco-tourism development; local guide program; geological education; UNESCO Geopark support,May-September (dry season only — trail impassable in wet season),5,Site of the largest volcanic eruption in recorded history (1815); massive 6km caldera; 'Year Without a Summer' volcano; geological wonder; extreme isolation and pristine ecosystem; one of Indonesia's most remote major summits,Low,4-season tent; sleeping bag; 2 days food/water; GPS device; trekking poles; machete; rain gear; local guide mandatory,5-6,BASARNAS Bima/Dompu,Dehydration; lost trail; exhaustion; falls at crater rim,Unknown,Low,2024
inerie,Inerie,East Nusa Tenggara (NTT),Bajawa (Flores),2245,Watumeze / Ngoranale village,From Bajawa (30-45 min drive); from Labuan Bajo (7-8h drive or fly to Bajawa via Ende),Unknown,Unknown,Unknown,Unknown,~5,~10,5-7,3-5,Unknown,Unknown,Basecamp(~800m)>Summit(2245m): ~1445m total,Grassland; savanna; exposed volcanic ridge; no tree cover for most of ascent,Advanced,High,Fully exposed ridge (no shade or wind protection); extreme heat in lower section; extreme wind at summit; no water on trail; loose volcanic soil; steep grade,Entire upper ridge: no protection from wind/sun; summit cone: very steep loose soil,1500+ (fly to Ende/Bajawa),Fly: 3-4h with connections; then 1h drive,Fly to Ende or Bajawa; car to trailhead,Village coordination; local guide recommended,Unknown,open,Unknown (village donation expected),None on trail — carry all water,Not recommended (exposed; day trip preferred),None,Unknown,Village only,"Good (remote, minimal impact)",Grassland fires in dry season; very limited documentation,Unknown,Medium,Fire prevention; grassland ecosystem documentation; local guide development; erosion control on trail,April-October (avoid wet season — trail becomes dangerous; start pre-dawn to avoid midday heat),5,Perfect conical volcano shape; stunning panorama of Flores landscape; Ngada culture and traditions; one of NTT's most beautiful peaks; remote and untouristy,Low,3L+ water (no shade); sun protection; sturdy boots; trekking poles; wind jacket for summit; start before dawn,4,BASARNAS Ende/Bajawa,Dehydration; heat exposure; falls on steep loose soil; wind-related incidents at summit,Unknown,Low,2024
latimojong,Latimojong (Rante Mario),South Sulawesi,Enrekang / Makassar,3478,Karangan village (Enrekang),From Makassar (8-10h drive to Enrekang then to Karangan); rough road last section,Unknown,Unknown,Unknown,Unknown,~15,~30,14-18 (3-4 days expedition),10-14,4-5,Karangan>Pos 1: ~4km/3h; Pos 1>Pos 2 (Sansarino): ~3km/3h; Pos 2>Pos 3 (Tanete): ~3km/3h; Pos 3>Pos 4 (Rante Mario): ~3km/3h; Pos 4>Summit: ~2km/3h,Karangan(~1200m)>Summit(3478m): ~2278m total,Dense primary rainforest; moss forest; alpine meadow; rocky summit,Advanced,High,Extreme remoteness; 3-4 day expedition; limited rescue access; dense forest (lost trail risk); cold; altitude; leeches; limited water in upper sections; very few climbers per year,Moss forest section: trail disappears under moss; summit approach: exposed rocky ridge,1500+ (fly to Makassar),Fly: 1.5h; then 8-10h drive,Fly to Makassar; rent car to Enrekang/Karangan; local guide mandatory,Village coordination; local guide mandatory; report to Enrekang authorities,Unknown — coordinate with local authorities,open,Unknown (village donation + guide fee),Streams at lower elevations; unreliable above Pos 2; carry purification,Clearings at each pos station,None,None on trail,None on trail; Karangan village,"Good (remote, pristine primary forest)",Extreme remoteness; very limited trail documentation; leech-heavy forest; logging threats at forest edges,Unknown,High,Primary forest protection; endemic species research (biodiversity hotspot); community guide development; anti-logging patrols; trail documentation and mapping,June-September (driest period),Unknown,Highest peak in Sulawesi; one of Indonesia's Seven Summits (Tujuh Puncak); true multi-day expedition; pristine primary rainforest; extremely few summiteers; Torajan/Duri culture nearby,Low,4-season tent; -5°C sleeping bag; 4 days food; water purification; GPS device; gaiters (leeches); trekking poles; machete; rain gear; first aid kit; local guide,5-6 (per day: 2-3L),BASARNAS Makassar; Enrekang police,Lost trail; dehydration; leech bites; hypothermia; exhaustion; altitude sickness,Unknown,Low,2024
lompobattang,Lompobattang,South Sulawesi,Bantaeng / Makassar,2871,Basecamp via Malino area,From Makassar via Malino (3-4h drive),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dense tropical forest; moss forest,Advanced,Medium,Dense forest; limited trail documentation; isolation; leeches; wet conditions year-round,Unknown,1500+ (fly to Makassar),Fly: 1.5h; then 3-4h drive,Fly to Makassar; car to basecamp; local guide mandatory,Unknown — local coordination required,Unknown,open,Unknown,Unknown,Unknown,None,Unknown,None on trail,Unknown,Very limited documentation; rarely climbed; overgrown trails,Unknown,Medium,Baseline environmental survey; trail documentation; endemic species research,June-September,Unknown,Second highest in Sulawesi; extremely rarely climbed; pristine forest; for serious peak-baggers only,Low,Full expedition kit; GPS device; machete; gaiters (leeches); local guide mandatory; 3+ days supplies,4-5,BASARNAS Makassar,Lost trail; unknown — limited reporting,Unknown,Low,2024
bawakaraeng,Bawakaraeng,South Sulawesi,Gowa / Makassar,2845,Basecamp Lembanna / Malino area,From Makassar via Malino (2.5-3h drive),Unknown,Unknown,Unknown,Unknown,~10,~20,8-10,5-7,3-4,Unknown,Unknown,Forest; open savanna; crater rim,Intermediate,Medium,Crater rim collapse (historical landslide event at summit area); slippery trail; dense fog; cold,Summit/crater area: history of major collapse; unstable terrain at crater rim,1500+ (fly to Makassar),Fly: 1.5h; then 2.5-3h drive,Fly to Makassar; car to basecamp,Basecamp registration; local guide recommended,Unknown,open,Unknown,Springs at lower elevations; carry for upper sections,Savanna area before summit; Pos 2-3,None,Unknown,Basecamp area,Unknown,Summit area instability; limited documentation,Unknown,Medium,Summit stability monitoring; trail maintenance; forest conservation,June-September,4,Most popular mountain near Makassar; sacred to Bugis-Makassar culture; dramatic crater collapse visible; challenging but accessible from South Sulawesi capital,Medium,3-season tent; sleeping bag; trekking poles; rain gear; headlamp; 3L water,3-4,BASARNAS Makassar,Slips; hypothermia; crater area falls,Unknown,Low,2024
